enhancerID,enhancerName,chromosomeNumberAsReported,startAsReported,endAsReported,genomeAssemblyAsReported,organism,hg38Chromosome,hg38Start,hg38End,geneName,geneID,organ,tissue,cell,functionalYN,methodAssay,relevantText,page,title,firstAuthor,pubYear,journal,volumePageNumber,doi,pmid,curator,comments
246,CRM 6,2,9516853,9517344,mm9,Mouse,10,8331595,8331740,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
247,CRM 7,4,133677449,133677940,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
248,CRM 8,7,25692020,25692499,mm9,Mouse,19,41887511,41887632,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
249,CRM 9,1,130487660,130488153,mm9,Mouse,2,136116908,136117169,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
250,CRM 10,17,73402941,73403428,mm9,Mouse,2,30393658,30394005,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
251,CRM 11,16,55948938,55949448,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
252,CRM 12,6,41504148,41504660,mm9,Mouse,7,142808872,142809122,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
253,CRM 13,7,132773816,132774317,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
254,CRM 14,7,133845833,133846308,mm9,Mouse,16,30186125,30185922,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
255,CRM 15,16,96091782,96092282,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
256,CRM 16,19,41113530,41114037,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
257,CRM 17,1,157000943,157001449,mm9,Mouse,1,181026624,181026375,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
258,CRM 18,17,28355244,28355746,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
259,CRM 19,7,134170733,134171236,mm9,Mouse,16,29805890,29805473,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
267,FLT1 fragment,13,28883317,28885458,hg19,Human,13,28309180,28311321,Unknown,Unknown,Cell Line,,HEK-293 Cells,Y,Luciferase Assay,"To provide a mechanistic explanation for the genetic associations with RFS, SNPs were assessed for regulatory activity using luciferase reporter gene assays.",1070,"Functional FLT1 Genetic Variation is a Prognostic Factor for Recurrence in Stage I–III
Non–Small-Cell Lung Cancer","Glubb, D. M.",2015,Journal of Thoracic Oncology,"10, 1067-1075",10.1097/JTO.0000000000000549,26134224,Charmaine,Reduced transcriptional activity in SVEC but not HEK293 cells
267,FLT1 fragment,13,28883317,28885458,hg19,Human,13,28309180,28311321,Unknown,Unknown,Cell Line,,SVEC4-10 Cells,Y,Luciferase Assay,"To provide a mechanistic explanation for the genetic associations with RFS, SNPs were assessed for regulatory activity using luciferase reporter gene assays.",1070,"Functional FLT1 Genetic Variation is a Prognostic Factor for Recurrence in Stage I–III
Non–Small-Cell Lung Cancer","Glubb, D. M.",2015,Journal of Thoracic Oncology,"10, 1067-1075",10.1097/JTO.0000000000000549,26134224,Charmaine,Reduced transcriptional activity in SVEC but not HEK293 cells
268,KRAS fragment,12,25392343,25394879,hg19,Human,12,25239409,25241945,Unknown,Unknown,Cell Line,,HEK-293 Cells,Y,Luciferase Assay,"To provide a mechanistic explanation for the genetic associations with RFS, SNPs were assessed for regulatory activity using luciferase reporter gene assays.",1070,"Functional FLT1 Genetic Variation is a Prognostic Factor for Recurrence in Stage I–III
Non–Small-Cell Lung Cancer","Glubb, D. M.",2015,Journal of Thoracic Oncology,"10, 1067-1075",10.1097/JTO.0000000000000549,26134224,Charmaine,Reduced transcriptional activity in SVEC cells and HEK293 cells
268,KRAS fragment,12,25392343,25394879,hg19,Human,12,25239409,25241945,Unknown,Unknown,Cell Line,,SVEC4-10 Cells,Y,Luciferase Assay,"To provide a mechanistic explanation for the genetic associations with RFS, SNPs were assessed for regulatory activity using luciferase reporter gene assays.",1070,"Functional FLT1 Genetic Variation is a Prognostic Factor for Recurrence in Stage I–III
Non–Small-Cell Lung Cancer","Glubb, D. M.",2015,Journal of Thoracic Oncology,"10, 1067-1075",10.1097/JTO.0000000000000549,26134224,Charmaine,Reduced transcriptional activity in SVEC cells and HEK293 cells
269,660bp KRAS fragment ,12,25384371,25385030,hg19,Human,12,25231437,25232096,Unknown,Unknown,Cell Line,,HEK-293 Cells,Y,Luciferase Assay,"To provide a mechanistic explanation for the genetic associations with RFS, SNPs were assessed for regulatory activity using luciferase reporter gene assays.",1070,"Functional FLT1 Genetic Variation is a Prognostic Factor for Recurrence in Stage I–III
Non–Small-Cell Lung Cancer","Glubb, D. M.",2015,Journal of Thoracic Oncology,"10, 1067-1075",10.1097/JTO.0000000000000549,26134224,Charmaine,"No effect in SVEC cells, slight increase in HEK293 cells"
271,rs6094710 Enhancer,20,46095400,46095966,hg19,Human,20,47466656,47467222,Unknown,Unknown,Cell Line,,SW1353 cells,Y,Luciferase Assay,"To assess whether rs6094710 or any of the other 11 SNPs are functional, we cloned the regions of DNA containing each SNP separately into a luciferase reporter plasmid.",2928,Correlation of the Osteoarthritis Susceptibility Variants That Map to Chromosome 20q13 With an Expression Quantitative Trait Locus Operating on NCOA3 and With Functional Variation at the Polymorphism rs116855380,"Gee, F.",2015,Arthritis & Rheumatology,"67, 2923-2932",10.1002/art.39278,26211391,Charmaine,
312,RIR3,2,65252666,65254352,hg19,Human,2,65025532,65027218,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
313,RIR14,11,102062915,102064357,hg19,Human,11,102192184,102193626,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
314,"RIR46
[Ref TAAC]; [Haplotype CGGA]",6,52609942,52611507,hg19,Human,6,52745144,52746709,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
315,RIR55,7,99339699,99340634,hg19,Human,7,99742076,99743011,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
316,GLP5,2,234672744,234673398,hg19,Human,2,233764098,233764752,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
317,RIR5,4,88983338,88984920,hg19,Human,4,88062186,88063768,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
318,RIR6,7,1032138,1033867,hg19,Human,7,992502,994231,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
319,RIR22,14,68986819,68988622,hg19,Human,14,68520102,68521905,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
320,RIR29,17,38227510,38229433,hg19,Human,17,40071257,40073180,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
321,RIR52,10,97238543,97240286,hg19,Human,10,95478786,95480529,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
322,RIR54,11,12823680,12825317,hg19,Human,11,12802133,12803770,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
323,GLP3,4,8511063,8511304,hg19,Human,4,8509336,8509577,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"Candidate enhancer sequences were cloned into the pGL4.23 (Promega) enhancer
assay vector, which contains a minimal promoter followed by the luciferase reporter gene.",e1004648,Genome-Wide Discovery of Drug-Dependent Human Liver Regulatory Elements,"Smith, R. P.",2014,PLOS Genetics,"10, e1004648",10.1371/journal.pgen.1004648,25275310,Charmaine,
324,C3-1,4,85339334,85339883,hg18,Human,4,84199157,84199706,Unknown,Unknown,Cell Line,,MIN6 β cells,Y,Transgenic Reporter Mice,"To investigate the function of transcription factor–bound enhancer clusters, we first verified that individual clustered C3 sites truly acted as cell type–specific enhancers.",138,Pancreatic islet enhancer clusters enriched in type 2 diabetes risk-associated variants,"Pasquali, L.",2014,Nature Genetics,"46, 136-143",10.1038/ng.2870,24413736,Charmaine,"Sequence obtained from Transgenic Reporter Zebrafish Assay.
Only given primers without chromosome for Reporter Mouse Cells"
325,RHODES,1,94441500,94443500,mm9,Mouse,2,240075368,240075530,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,"Transgenic Reporter
Zebrafish","We sought a functional assay that is appropriate for a highthroughput in vivo enhancer screen. We performed transient reporter assays in zebrafish embryos and scored for MOE-specific reporter expression as previously described (Booker et al., 2013).",545,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,Not Mammalian System
326,SIFNOS,11,87749900,87751500,mm9,Mouse,17,58134194,58133668,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,"Transgenic Reporter
Zebrafish","We sought a functional assay that is appropriate for a highthroughput in vivo enhancer screen. We performed transient reporter assays in zebrafish embryos and scored for MOE-specific reporter expression as previously described (Booker et al., 2013).",545,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,Not Mammalian System
327,CRETE,11,73848400,73850199,mm9,Mouse,17,3318405,3318057,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,"Transgenic Reporter
Zebrafish","We sought a functional assay that is appropriate for a highthroughput in vivo enhancer screen. We performed transient reporter assays in zebrafish embryos and scored for MOE-specific reporter expression as previously described (Booker et al., 2013).",545,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,Not Mammalian System
328,SYMI,11,50812200,50813599,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,"Transgenic Reporter
Zebrafish","We sought a functional assay that is appropriate for a highthroughput in vivo enhancer screen. We performed transient reporter assays in zebrafish embryos and scored for MOE-specific reporter expression as previously described (Booker et al., 2013).",545,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,Not Mammalian System
329,TINOS,19,14170300,14171700,mm9,Mouse,9,80090900,80090203,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,"Transgenic Reporter
Zebrafish","We sought a functional assay that is appropriate for a highthroughput in vivo enhancer screen. We performed transient reporter assays in zebrafish embryos and scored for MOE-specific reporter expression as previously described (Booker et al., 2013).",545,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,Not Mammalian System
330,IOS,7,115939700,115941900,mm9,Mouse,11,7890390,7891617,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,"Transgenic Reporter
Zebrafish","We sought a functional assay that is appropriate for a highthroughput in vivo enhancer screen. We performed transient reporter assays in zebrafish embryos and scored for MOE-specific reporter expression as previously described (Booker et al., 2013).",545,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,Not Mammalian System
